id,Gender,Age group,Concern_Type,Student_Concern,Solution,Department,Sub_Section
11,Male,21-25,Question,"can I know the total semester payment for 3rd year 1st semester, Faculty of Computing?","For the 3rd year 1st semester, June batch IT/ISE/IM students' amount is Rs.150000.  CSNE students' amount is Rs.160000. SE/DS/CS students' amount is Rs.175000. ",Student Services Department,Financial Office
12,Female,21-25,Question,"What is the fee for 3rd year 1st semester, Faculty of Computing?","For the 3rd year 1st semester, June batch IT/ISE/IM students' amount is Rs.150000.  CSNE students' amount is Rs.160000. SE/DS/CS students' amount is Rs.175000. ",Student Services Department,Financial Office
13,Male,21-25,Question,"what is the total semester payment for 2nd year 2nd semester, Faculty of Computing?","For the 2nd year 2nd semester, Regular batch IT/ISE/SE/IM/DS students' amount is Rs.175000.  CSNE/CS students' amount is Rs.200000. ",Student Services Department,Financial Office
14,Female,21-25,Question,can I know the total semester payment for 2nd year 2nd semester Faculty of Computing?,"For the 2nd year 2nd semester, Regular batch IT/ISE/SE/IM/DS students' amount is Rs.175000.  CSNE/CS students' amount is Rs.200000. ",Student Services Department,Financial Office
15,Male,21-25,Question,What is the fee for 2nd year 2nd semester Faculty of Computing?,"For the 2nd year 2nd semester, Regular batch IT/ISE/SE/IM/DS students' amount is Rs.175000.  CSNE/CS students' amount is Rs.200000. ",Student Services Department,Financial Office
16,Male,21-25,Question,"what is the total semester payment for 2nd year 1st semester, Faculty of Computing?","For the 2nd year 1st semester, June batch IT/ISE/SE/IM/DS students' amount is Rs.175000.  CSNE/CS students' amount is Rs.200000. ",Student Services Department,Financial Office
17,Male,21-25,Question,can I know the total semester payment for 2nd year 1st semester Faculty of Computing?,"For the 2nd year 1st semester, June batch IT/ISE/SE/IM/DS students' amount is Rs.175000.  CSNE/CS students' amount is Rs.200000. ",Student Services Department,Financial Office
18,Female,21-25,Question,What is the fee for 2nd year 1st semester Faculty of Computing?,"For the 2nd year 1st semester, June batch IT/ISE/SE/IM/DS students' amount is Rs.175000.  CSNE/CS students' amount is Rs.200000. ",Student Services Department,Financial Office
19,Female,21-25,Question,Can I do a bank transfer to pay the semester payment..?,"Students can do a bank transfer to pay the semester payment. Students can get more information through notices published via official information
source for students.",Student Services Department,Financial Office
20,Female,21-25,Question,Can I perform a bank transfer to pay the semester payment..?,"Students can do a bank transfer to pay the semester payment. Students can get more information through notices published via official information
source for students.",Student Services Department,Financial Office
21,Male,21-25,Question,If an extra amount is paid by mistake can I get it back in the relevant semester ?,"If an extra amount is paid by mistakenly, it will be added to the next semeter payment or it can refund in the next semester.",Student Services Department,Financial Office
22,Female,25-30,Question,"Can I get a relief for the payment..? 
",The parent or guardian of the student will have to personally meet the Manager Academic Affairs to get a relief for the semester fee.,Student Services Department,Financial Office
23,Female,25-30,Question,Who  I have to meet to discuss the relief of the semester payment..?,The parent or guardian of the student will have to personally meet the Manager Academic Affairs to get a relief for the semester fee.,Student Services Department,Financial Office
24,Female,25-30,Request,it is better to have a option that can do the semester fee in multiple installment basis,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
25,Female,25-30,Request,it is better to have a option that can do the semester payment in installment basis,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
26,Male,21-25,Request,it is better to have a option that can do the semester fee in monthly basis,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
27,Female,21-25,Request,it is better to have a option that can do the semester payment in monthly basis,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
28,Male,21-25,Request,it is better to have a option that can do the semester fee in monthly basis,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
29,Female,21-25,Request,can you add a option that can do the semester payment in installment basis?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
30,Female,21-25,Request,can you add a option that can do the semester payment in installment basis?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
31,Female,21-25,Request,it is better to have a option that can do the semester payment in installment basis,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
32,Male,21-25,Question,can i do my semester payments in installment basis..?,The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
33,Female,21-25,Question,Because of the pandemic it's hard to pay all amount in one time. So can we pay monthly wise ?,"Stil there's no any procedure to do the semester payment in monthly basis, but students can do it within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.",Student Services Department,Financial Office
34,Female,21-25,Question,"What is the installment plan,if there is one? ","There is no any installment plans provide by the university, but there is a loan facility named MOH provides by the Bank of Ceylon and Student loan facility provides by Nations Trust Bank. The students that having issues with the fee, can get help from the loan facility.",Student Services Department,Financial Office
35,Female,21-25,Question,How can verify the branch name when I paid through FriMi?,"When students pay semester fee through FriMi, there's no any option to select the branch name. Students can directly do the payment by using student id number through Frimi.",Student Services Department,Financial Office
36,Female,21-25,Question,Can I do the semester fee through FriMi?,Students can not do the semester fee through FriMi. The maximum amount that can pay through the FriMi is Rs. 25000.,Student Services Department,Financial Office
37,Female,21-25,Question,What are payment types that can pay through the FriMi?,"The payment types that can pay through the FriMi is Convocation fees, Pro-rata fees, application fees, installment fee, repeat fee.",Student Services Department,Financial Office
38,Male,21-25,Question,Can I do the semester payment in multiple installments?,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
39,Male,21-25,Question,Can I reduce the semester fee ?,The parent or guardian of the student will have to personally meet the Manager Academic Affairs to get a reduction for the semester fee.,Student Services Department,Financial Office
40,Female,21-25,Request,it is better to have some discount facilities to semester payment concidering the extra curicular activities.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
41,Female,21-25,Request,Can you allocate a total subscription plan that helps to do degree online?,We are still working on that. Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
42,Female,21-25,Question,What are the payment plans available?,"There is no any payment plans provide by the university, but there is a loan facility named MOH provides by the Bank of Ceylon and Student loan facility provides by Nations Trust Bank. The students that having issues with the fee, can get help from the loan facility.",Student Services Department,Financial Office
43,Female,21-25,Request,since we are doing the degree online can you reduce the fee?,We are still working on that. Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
44,Female,21-25,Question,Can u give a discount for a semester payment..?,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
45,Female,21-25,Request,Do you have any discount facilities ..?,"There's no any discount facilities, but students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.",Student Services Department,Financial Office
46,Female,21-25,Question,Can I do the payment through online?,Students can do the semester payment through online.,Student Services Department,Financial Office
47,Female,21-25,Question,Whats the option when we cannot do the payment during the registration period..?,Students who fail to register during the registration period will be liable to pay a late processing fee and the applicable penalty fees. No registrations will be entertained beyond the expiry of the late registration period.,Student Services Department,Financial Office
48,Female,21-25,Question,Is university give any reduction for the semester fee ?,Registration Notice.,Student Services Department,Financial Office
49,Female,21-25,Question,Can you please waive off the installation charges?,"If you have any problems with the semester payment, the parent or guardian of the student will have to personally meet the Manager Academic Affairs to get a reduction for the semester fee.",Student Services Department,Financial Office
50,Female,21-25,Request,Can we have a option to get a discount for early semester payments,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
51,Female,21-25,Request,Can we have a option to get a discount for early semester fees,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
52,Female,21-25,Question,Can I get a discount for early payment ..?,Sorry. There is not any early payment discount option.,Student Services Department,Financial Office
53,Female,21-25,Question,Can I do the semester payment using a personal bank loan?,students can do semeter payment by using personal bank loans,Student Services Department,Financial Office
54,Male,16-20,Question,Can I do the semester payment using a cheque?,There's not any option to do the payment using a cheque.,Student Services Department,Financial Office
55,Male,16-20,Question,Are there any student loan schemes available to do the semester fee? ,University provides selected bank loan facilities to students to do the semester fee.,Student Services Department,Financial Office
56,Male,16-20,Question,Are there any student loan schemes available to do the semester payment? ,University provides selected bank loan facilities to students to do the semester payment.,Student Services Department,Financial Office
57,Female,21-25,Question,Do I get a discount when I pay the full payment at once?,"Sorry. There is not any discount option, when do the full payment at once.",Student Services Department,Financial Office
58,Female,21-25,Question,Is it possible for me to settle the payment in six concessions ?,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
59,Female,21-25,Request,can you give some discount facilities to students regarding semester payment?,"There's no any discount facilities, but students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.",Student Services Department,Financial Office
60,Female,21-25,Request,can you give some discount facilities to students regarding semester payment?,"There's no any discount facilities, but students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.",Student Services Department,Financial Office
61,Female,21-25,Request,can you give some discount facilities to students regarding semester payment?,"There's no any discount facilities, but students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.",Student Services Department,Financial Office
62,Female,21-25,Request,it is better to have discount facilities in semester payment.,"There's no any discount facilities, but students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.",Student Services Department,Financial Office
63,Female,21-25,Request,it is better to have discount facilities in semester fee.,"There's no any discount facilities, but students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.",Student Services Department,Financial Office
64,Female,21-25,Request,Can you please give me couple of days to settle my semester payment ?,If you have any issues with the semester fee you can directly contact Manager Academic Affairs to do some request.,Student Services Department,Financial Office
65,Female,21-25,Question,"Can I do the semester payment in multiple installments using different banks..?

","Students can do the semester payment within two installments using a one bank. For, further clarrifications you can contact Financial Office.",Student Services Department,Financial Office
66,Female,21-25,Question,Can I pay course fee after the deadline?,"Students who fail to register during the registration period will be liable to pay a late processing fee and the applicable penalty fees. No registrations will be entertained beyond the expiry of the late registration period specified in the 
Registration Notice.",Student Services Department,Financial Office
67,Female,21-25,Question,Can I delay the semester payment due to reasonable medical reasons?,If you have any problems with the semester payment.  you can directly contact Financial Office.,Student Services Department,Financial Office
68,Female,21-25,Question,"What is deadline for the semester registration ?
",The payment dates will be announced through notices published via official information source for students.,Student Services Department,Financial Office
69,Male,21-25,Question,"Can I get free payments if I'll achieve best performances in semester scholarships...? 
","If students achieve best performances in last semester, they can get free from the next semeter payment.",Student Services Department,Financial Office
70,Male,21-25,Question,Can we pay the semester payment online?,Students can do the semester payment through online.,Student Services Department,Financial Office
71,Male,21-25,Question,Can I do the semester payment at once? ,Students can do the semester payment at once.,Student Services Department,Financial Office
72,Male,21-25,Question,How long usually it takes to confirm the payment?,University takes maximum one day to confirm the semester payment.,Student Services Department,Financial Office
73,Male,21-25,Question,"What are the loan facilities to pay the semester payment..? 
","University provides bank loan facilities to students to do the semester fee by using BOC, HNB, Nations Trust Bank and Sampath Bank. ",Student Services Department,Financial Office
74,Female,21-25,Question,Can I do the semester payment by a loan..? ,University provides bank loan facilities to students to pay the semester payment.,Student Services Department,Financial Office
75,Male,21-25,Question,Can we get discounts for the semester payment considering the current pandemic situation..?,"If you have any problems with the semester payment. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis. For, further clarrifications you can contact Financial Office.",Student Services Department,Financial Office
76,Female,21-25,Question,"If payment is accepted in several installments, if the payment period can be extended ?",If you have any problems with the semester payment.  you can directly contact Financial Office.,Student Services Department,Financial Office
77,Male,21-25,Question,What happens if semester payment got delayed? ,"Students who fail to register during the registration period will be liable to pay a late processing fee and the applicable penalty fees. No registrations will be entertained beyond the expiry of the late registration period specified in the 
Registration Notice.",Student Services Department,Financial Office
78,Male,21-25,Question,If a student has difficulties to pay the semester fee. Are their any loan facilities to pay the semester fee..?,"University provides bank loan facilities to students to pay the semester payment. There is a loan facility named MOH provides by the Bank of Ceylon and Student loan facility provides by Nations Trust Bank. The students that having issues with the fee, can get help from the loan facility.",Student Services Department,Financial Office
79,Male,21-25,Question,Can I have discounts for semester payments for the best achievements...?,"If students achieve best performances in last semester, they can get free from the next semeter payment.",Student Services Department,Financial Office
80,Male,21-25,Question,If I pay semester payment at once will I get discounts for the full payment...?,Sorry. There is not any discount option for the semester payment.,Student Services Department,Financial Office
81,Female,21-25,Question,"If I follow more courses, will I get discounted semester payments...? ",Sorry. There is not any discount option for the semester payment.,Student Services Department,Financial Office
82,Male,21-25,Question,What should I do if can't pay on time?,If you have any problems with the semester payment.  you can directly contact Financial Office.,Student Services Department,Financial Office
83,Male,21-25,Question,"Whom should I inform, if I forgot to register after payment is made..?",Any problems associated with the registration for a semester should be resolved prior to or during the registration period. A student whose name does not appear in the Class Attendance Lists is considered to have not been registered for the given semester. Such students should immediately contact the Student Help Desk to complete their registration.,Student Services Department,Financial Office
84,Female,21-25,Question,How to calculate this semester payment what is the method using for it..?,"Students can refer the payment document using the course web. Payment document has all the information about the semester payments for each year, each semester according to the relevant specialization.",Student Services Department,Financial Office
85,Male,21-25,Question,If a student has difficulties to pay the semester fee. Are their any facilities to do the semester fee in multiple installments..?,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
86,Female,21-25,Question,Can I get  a scholarship considering my extra curricular activities ..?,"There's no any option yet, but we will direct it to the relevant section of the department.",Student Services Department,Financial Office
87,Male,21-25,Request,can we have a schorlaships concidering the the extra curricular activities,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
88,Male,21-25,Request,It is good to have a option to provide scholarship to students considering the extra curricular activities,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
89,Female,25-30,Question,Can I get a discount for my extra curricular achievements?,"There's no any option yet, but we will direct it to the relevant section of the department.",Student Services Department,Financial Office
90,Female,25-30,Request,Can we have a discount for the extra curricular achievements,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
91,Female,25-30,Request,it is better to have a discount for the extra curricular achievements,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Financial Office
92,Female,25-30,Question,How can I get discount for my payment installment? ,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
93,Female,25-30,Question,Is semester payment in multiple installments option available? ,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
94,Female,21-25,Question,What are the available banks to do the semester payment?,"Students can do the semester payment through Bank of Ceylon, Sampath Bank, Nations Trust Bank, Hatton National Bank.",Student Services Department,Financial Office
95,Male,21-25,Question,What are the available banks and branches to do the semester payment?,"Students can do the semester payment through Bank of Ceylon Kollupitiya Super Grade Branch, Sampath Bank Malabe Branch, Nations Trust Bank Malabe Branch, Hatton National Bank Malabe Bank.",Student Services Department,Financial Office
96,Female,21-25,Question,"What are the available banks, branches and branch codes to do the semester payment?","Students can do the semester payment through Bank of Ceylon Kollupitiya Super Grade Branch - branch code 034, Sampath Bank Malabe Branch - branch code 039, Nations Trust Bank Malabe Branch - branch code 038, Hatton National Bank Malabe Bank - branch code 156.",Student Services Department,Financial Office
97,Female,21-25,Question,can students do withdrawals from a course at any time..?,A student is entitled to withdraw from a course at any given time subjected to some conditions.,Student Services Department,Financial Office
98,Female,21-25,Question,To whom should we have to submit the withdrawal application?,A withdrawal application should be submitted to the Student Services Division addressed to the Manager along with the certification from the Librarian to the effect that all books have been returned and dues settled and the SLIIT Identity card should be returned to the Academic Affairs Division,Student Services Department,Financial Office
99,Female,21-25,Question,What are the documentations we have to submit with the withdrawal application?,A withdrawal application should be submitted to the Student Services Division addressed to the Manager along with the certification from the Librarian to the effect that all books have been returned and dues settled and the SLIIT Identity card should be returned to the Academic Affairs Division,Student Services Department,Financial Office
100,Male,21-25,Question,"What should do, if a student want to do a withdrawal? ",A filled withdrawal application should be submitted to the Student Services Division addressed to the Manager along with the certification from the Librarian to the effect that all books have been returned and dues settled and the SLIIT Identity card should be returned to the Academic Affairs Division,Student Services Department,Financial Office
101,Female,21-25,Question,What facilities are included to the semester fee?,"Students are required to pay an all-inclusive fee to cover the Lectures, Tutorials, Examinations and Access to the Laboratories and the library, Sports and Recreational and all other facilities provided to students and (Government Taxes), before the commencement of the respective semesters.",Student Services Department,Financial Office
102,Female,21-25,Question,How students can know about the deadlines of the payments?,The payment dates will be announced through notices published via official information source for students and the students are expected to abide by the time frames published in making the payments.,Student Services Department,Financial Office
103,Female,21-25,Question,"If students registering for a foreign degree, should have to pay additional amount to the partner university?",Students registering for Degree Programmes of Partner Universities should pay the Partner University fee along with the SLIIT semester fee.,Student Services Department,Financial Office
104,Male,21-25,Question,"If students repeat the failed module, should have to do a payment?",Students will be allowed to repeat failed modules by registering for the examination after the payment of the repeat examination fee.,Student Services Department,Financial Office
105,Male,21-25,Question,How students can know about the details of pro-rata fee?,The pro-rata fee payable for each module is published via official information source for students.,Student Services Department,Financial Office
106,Female,21-25,Question,Can we pay pro-rata fee in installment basis?,Pro-rata fee cannot be paid in installments.,Student Services Department,Financial Office
107,Female,21-25,Question,"Whom should I contact, when problem occurs in the registration process?",Any problems associated with the registration for a semester should be resolved prior to or during the registration period. A student whose name does not appear in the Class Attendance Lists is considered to have not been registered for the given semester. Such students should immediately contact the Student Help Desk to complete their registration.,Student Services Department,Financial Office
108,Female,21-25,Question,What will happen if any assessment or coursework submitted by a student who does not possess the valid registration?,"Any assessment or coursework submitted by a student who does not possess the valid registration for the module/ semester, will be deemed invalid and will not be considered in any future evaluations.",Student Services Department,Financial Office
109,Male,21-25,Question,What will happen if a student does not possess the valid registration for the respective semester?,"A student who does not possess the valid registration for the respective semester would not be eligible to attend lectures, attempt assessments and sit for the Mid Semester/End Semester Examinations.",Student Services Department,Financial Office
110,Female,21-25,Question,How to become eligible for semester registration?,"In order to become eligible for registration, every student/ applicant is required to satisfy the entry/ progression requirements specified for the program of enrollment as specified in the course documentation/ bylaws applicable for the relevant intake available on “Official Information Source for students”.",Student Services Department,Financial Office
111,Female,21-25,Question,What are the requirements that required to accept the registration of a student?,"The student should satisfy the eligibility for registration by having the necessary entry/ progression requirements for the said program. These requirements may be amended from time to time at the discretion of the faculty board, making the due payment for the semester, submitting the dully filled registration application, no active suspension of studentship or no active suspension of registration for the semester sought.",Student Services Department,Financial Office
112,Female,21-25,Question,How to register for a repeat module?,A student who wish to follow a module is required to register for the said module by paying the applicable pro rata fee of the module.,Student Services Department,Financial Office
113,Female,21-25,Question,"In cases where the student possess continuous assessment marks that are within the validity period, should that students has to repeat the whole module?","In cases where the student possess continuous assessment marks that are within the validity period specified in the course documentation/ bylaws applicable for the relevant intake available on ‘Official Information Source for students’, the student may sit only for the final exam component by applying for pro-rata.",Student Services Department,Financial Office
114,Male,21-25,Question,"Are the validity period of continuous assessment marks, same for the all the faculties?",The relevant faculty at their discretion may change the validity period of continuous assessment marks.,Student Services Department,Financial Office
115,Female,21-25,Question,"What should do, if a student has failed to obtain the pass mark in the Final Examination?",A student who possesses a valid regular semester registration and who has failed to obtain the pass mark in the Final Examination component of a module can register as a repeat candidate for the said module provided that the student has obtained a Pass grade for Continuous Assessment. Information on repeat registration will be notified on ‘official information source for students’.,Student Services Department,Financial Office
116,Female,16-20,Question,Can transfer the fees paid by a student to SLIIT to the credit of another student?,Students will not be permitted to transfer the fees paid by her/him to SLIIT to the credit of another student under any circumstance.,Student Services Department,Financial Office
117,Female,21-25,Question,"How much of the payment would be refund to the students, who have applied for a refund within one week of the commencement of the course?","Applicants who have applied for a refund within one week of the commencement of the course - A refund of 90% of the payment shall be made,",Student Services Department,Financial Office
118,Male,21-25,Question,"How much of the payment would be refund to the students, who have followed the course for less than one month?",Applicants who have followed the course for less than one month – A refund of 50% of the payment shall be made.,Student Services Department,Financial Office
119,Male,21-25,Question,"What are the documentations that student should have to submit, when apply for a refund?","In order to obtain a refund a student should submit, the lesson materials, SLIIT student identity card and a duly completed refund form to Student Services on or prior to the applicable deadlines.",Student Services Department,Financial Office
120,Male,21-25,Question,"How much of the payment would be refund to the students, who have followed the course for more than one month?",No refund will be made after one month.,Student Services Department,Financial Office
121,Female,21-25,Question,Can students request for a refund to the repeat registration fee?,If a student registers for a final examination as a repeat candidate and subsequently obtain a Pass grade for the said module due to late release of results or re-scrutiny the student will be offered a full refund.,Student Services Department,Financial Office
122,Female,21-25,Question,Is there any doctor available inside the campus?,Medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
123,Male,21-25,Question,What are the medical facilities entitled in the university medical office..?,"University provides medical facilities to the areas of nursing, clinical care, dentistry, pharmacy, public health, occupational therapy, physical therapy and (bio)medical research, and alternative medicine too.",Student Services Department,Medical Office
124,Male,21-25,Question,Can students get recommendations from doctor for free?,students can get recommendations from doctor for free.,Student Services Department,Medical Office
125,Male,21-25,Question,At anytime of the university hours we can meet a doctor..?,Medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
126,Female,21-25,Question,how to get my medical report..?,"Students can go to the medical office, meet a doctor and get a medical report.",Student Services Department,Medical Office
127,Male,21-25,Question,Is there a medical room in university? ,There are medical rooms in the university.,Student Services Department,Medical Office
128,Female,21-25,Question,How can I obtain a medical report?,"You can go to the medical office, meet a doctor and get your report.",Student Services Department,Medical Office
129,Female,21-25,Question,Can we meet the doctor anytime?,There are wide range of medical facilities inside the campus. Within anytime of the university hourse you can meet a doctor. ,Student Services Department,Medical Office
130,Female,25-30,Request,Can you display a notification light saying if the in house doctor is available?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Medical Office
131,Female,25-30,Question,Do you have a first aid facility? ," first aid facilities are available in the university. University provides medical facilities to the areas of nursing, clinical care, dentistry, pharmacy, public health, occupational therapy, physical therapy and (bio)medical research, and alternative medicine too.",Student Services Department,Medical Office
132,Female,25-30,Question,do we get free medicine for a illness when we at the campus premisses?,Students can get free medicine for a illness at the university premisses.,Student Services Department,Medical Office
133,Female,25-30,Question,Can I know that Medical facilities are Ugc approveed?,Medical facilities are Ugc approveed.,Student Services Department,Medical Office
134,Male,25-30,Question,Are the medical facilities free of charge?,university provides medical facilities free ,Student Services Department,Medical Office
135,Female,25-30,Question,If a student met with an accident during a exam period what will be the action taken from the university?,"If a student met with an accident during a exam period, university provide chance to do the examination again with another batch to that student.",Student Services Department,Medical Office
136,Male,21-25,Question,Can I meet the doctor at any time in the university?,There are wide range of medical facilities inside the campus. Within anytime of the university hourse you can meet a doctor. ,Student Services Department,Medical Office
137,Female,21-25,Question,How can i visit our doctor ?,Medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
138,Female,16-20,Question,Can we have medicines for sickness or illness in university?,Students can have medines for sickness or illness at the medical office in the university.,Student Services Department,Medical Office
139,Female,21-25,Question,How do the medical section act of a student got injured badly?,"If a student got injured badly, medical office provide medical treatments to that student. If more treatment needed, university will be hospitalized that student.",Student Services Department,Medical Office
140,Male,21-25,Question,What will do the medical section if some student had a serious illness in university premises?,"If a student had a serious illness in university premises, medical office provide medical treatments to that student. If more treatment needed, university will be hospitalized that student.",Student Services Department,Medical Office
141,Male,21-25,Question,Should the students pay for the university for medicine?,Students can get free instructions from the doctor to the any medical issues.,Student Services Department,Medical Office
142,Male,21-25,Question,Is there any counseling facilities..?,"Counseling is available for students for academic, vocational, emotional, personal or social concerns. Students are encouraged to make an appointment in order to make use of the counselling services available.",Student Services Department,Medical Office
143,Male,21-25,Question,can you provide pharmacy facilities inside the campus?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Medical Office
144,Female,21-25,Request,can you provide pharmacy facilities inside the campus?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Medical Office
145,Male,21-25,Request,can you provide pharmacy facilities inside the campus?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Medical Office
146,Male,21-25,Request,can you provide pharmacy facilities inside the campus?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Medical Office
147,Male,21-25,Request,can you provide pharmacy facilities inside the campus?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Medical Office
