id,Gender,Age_group,Concern_Type,Student_Concern,Solution,Department,Sub_Section
43,Female,21-25,Question,Can I get a discount for my extra curricular achievements?,"There's no any option yet, but we will direct it to the relevant section of the department.",Student Services Department,Financial Office
44,Female,21-25,Question,How can I get discount for my payment installment? ,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
45,Female,21-25,Question,Is semester payment in multiple installments option available? ,Students can do the semester payment within multiple installments. The parent or guardian of the student will have to personally meet the Manager Academic Affairs to complete the relevant agreement to do the semester fee in installment basis.,Student Services Department,Financial Office
46,Female,21-25,Question,What are the available banks to do the semester payment?,"Students can do the semester payment through Bank of Ceylon, Sampath Bank, Nations Trust Bank, Hatton National Bank.",Student Services Department,Financial Office
47,Female,21-25,Question,What are the available banks and branches to do the semester payment?,"Students can do the semester payment through Bank of Ceylon Kollupitiya Super Grade Branch, Sampath Bank Malabe Branch, Nations Trust Bank Malabe Branch, Hatton National Bank Malabe Bank.",Student Services Department,Financial Office
48,Female,21-25,Question,"What are the available banks, branches and branch codes to do the semester payment?","Students can do the semester payment through Bank of Ceylon Kollupitiya Super Grade Branch - branch code 034, Sampath Bank Malabe Branch - branch code 039, Nations Trust Bank Malabe Branch - branch code 038, Hatton National Bank Malabe Bank - branch code 156.",Student Services Department,Financial Office
49,Female,21-25,Question,can students do withdrawals from a course at any time..?,A student is entitled to withdraw from a course at any given time subjected to some conditions.,Student Services Department,Financial Office
50,Female,21-25,Question,To whom should we have to submit the withdrawal application?,A withdrawal application should be submitted to the Student Services Division addressed to the Manager along with the certification from the Librarian to the effect that all books have been returned and dues settled and the SLIIT Identity card should be returned to the Academic Affairs Division,Student Services Department,Financial Office
51,Female,21-25,Question,What are the documentations we have to submit with the withdrawal application?,A withdrawal application should be submitted to the Student Services Division addressed to the Manager along with the certification from the Librarian to the effect that all books have been returned and dues settled and the SLIIT Identity card should be returned to the Academic Affairs Division,Student Services Department,Financial Office
52,Female,21-25,Question,"What should do, if a student want to do a withdrawal? ",A filled withdrawal application should be submitted to the Student Services Division addressed to the Manager along with the certification from the Librarian to the effect that all books have been returned and dues settled and the SLIIT Identity card should be returned to the Academic Affairs Division,Student Services Department,Financial Office
53,Female,21-25,Question,What facilities are included to the semester fee?,"Students are required to pay an all-inclusive fee to cover the Lectures, Tutorials, Examinations and Access to the Laboratories and the library, Sports and Recreational and all other facilities provided to students and (Government Taxes), before the commencement of the respective semesters.",Student Services Department,Financial Office
54,Male,16-20,Question,How students can know about the deadlines of the payments?,The payment dates will be announced through notices published via official information source for students and the students are expected to abide by the time frames published in making the payments.,Student Services Department,Financial Office
55,Male,16-20,Question,"If students registering for a foreign degree, should have to pay additional amount to the partner university?",Students registering for Degree Programmes of Partner Universities should pay the Partner University fee along with the SLIIT semester fee.,Student Services Department,Financial Office
56,Male,16-20,Question,"If students repeat the failed module, should have to do a payment?",Students will be allowed to repeat failed modules by registering for the examination after the payment of the repeat examination fee.,Student Services Department,Financial Office
57,Female,21-25,Question,How students can know about the details of pro-rata fee?,The pro-rata fee payable for each module is published via official information source for students.,Student Services Department,Financial Office
58,Female,21-25,Question,Can we pay pro-rata fee in installment basis?,Pro-rata fee cannot be paid in installments.,Student Services Department,Financial Office
59,Female,21-25,Question,"Whom should I contact, when problem occurs in the registration process?",Any problems associated with the registration for a semester should be resolved prior to or during the registration period. A student whose name does not appear in the Class Attendance Lists is considered to have not been registered for the given semester. Such students should immediately contact the Student Help Desk to complete their registration.,Student Services Department,Financial Office
60,Female,21-25,Question,What will happen if any assessment or coursework submitted by a student who does not possess the valid registration?,"Any assessment or coursework submitted by a student who does not possess the valid registration for the module/ semester, will be deemed invalid and will not be considered in any future evaluations.",Student Services Department,Financial Office
61,Female,21-25,Question,What will happen if a student does not possess the valid registration for the respective semester?,"A student who does not possess the valid registration for the respective semester would not be eligible to attend lectures, attempt assessments and sit for the Mid Semester/End Semester Examinations.",Student Services Department,Financial Office
62,Female,21-25,Question,How to become eligible for semester registration?,"In order to become eligible for registration, every student/ applicant is required to satisfy the entry/ progression requirements specified for the program of enrollment as specified in the course documentation/ bylaws applicable for the relevant intake available on �Official Information Source for students�.",Student Services Department,Financial Office
63,Female,21-25,Question,What are the requirements that required to accept the registration of a student?,"The student should satisfy the eligibility for registration by having the necessary entry/ progression requirements for the said program. These requirements may be amended from time to time at the discretion of the faculty board, making the due payment for the semester, submitting the dully filled registration application, no active suspension of studentship or no active suspension of registration for the semester sought.",Student Services Department,Financial Office
64,Female,21-25,Question,How to register for a repeat module?,A student who wish to follow a module is required to register for the said module by paying the applicable pro rata fee of the module.,Student Services Department,Financial Office
65,Female,21-25,Question,"In cases where the student possess continuous assessment marks that are within the validity period, should that students has to repeat the whole module?","In cases where the student possess continuous assessment marks that are within the validity period specified in the course documentation/ bylaws applicable for the relevant intake available on �Official Information Source for students�, the student may sit only for the final exam component by applying for pro-rata.",Student Services Department,Financial Office
66,Female,21-25,Question,"Are the validity period of continuous assessment marks, same for the all the faculties?",The relevant faculty at their discretion may change the validity period of continuous assessment marks.,Student Services Department,Financial Office
67,Female,21-25,Question,"What should do, if a student has failed to obtain the pass mark in the Final Examination?",A student who possesses a valid regular semester registration and who has failed to obtain the pass mark in the Final Examination component of a module can register as a repeat candidate for the said module provided that the student has obtained a Pass grade for Continuous Assessment. Information on repeat registration will be notified on �official information source for students�.,Student Services Department,Financial Office
68,Female,21-25,Question,Can transfer the fees paid by a student to SLIIT to the credit of another student?,Students will not be permitted to transfer the fees paid by her/him to SLIIT to the credit of another student under any circumstance.,Student Services Department,Financial Office
69,Male,21-25,Question,"How much of the payment would be refund to the students, who have applied for a refund within one week of the commencement of the course?","Applicants who have applied for a refund within one week of the commencement of the course - A refund of 90% of the payment shall be made,",Student Services Department,Financial Office
70,Male,21-25,Question,"How much of the payment would be refund to the students, who have followed the course for less than one month?",Applicants who have followed the course for less than one month � A refund of 50% of the payment shall be made.,Student Services Department,Financial Office
71,Male,21-25,Question,"What are the documentations that student should have to submit, when apply for a refund?","In order to obtain a refund a student should submit, the lesson materials, SLIIT student identity card and a duly completed refund form to Student Services on or prior to the applicable deadlines.",Student Services Department,Financial Office
72,Male,21-25,Question,"How much of the payment would be refund to the students, who have followed the course for more than one month?",No refund will be made after one month.,Student Services Department,Financial Office
73,Male,21-25,Question,Can students request for a refund to the repeat registration fee?,If a student registers for a final examination as a repeat candidate and subsequently obtain a Pass grade for the said module due to late release of results or re-scrutiny the student will be offered a full refund.,Student Services Department,Financial Office
74,Female,21-25,Question,Is there any doctor available inside the campus?,Medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
75,Male,21-25,Question,What are the medical facilities entitled in the university medical office..?,"University provides medical facilities to the areas of nursing, clinical care, dentistry, pharmacy, public health, occupational therapy, physical therapy and (bio)medical research, and alternative medicine too.",Student Services Department,Medical Office
76,Female,21-25,Question,At anytime of the university hours we can meet a doctor..?,Medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
77,Male,21-25,Question,how to get my medical report..?,"Students can go to the medical office, meet a doctor and get a medical report.",Student Services Department,Medical Office
78,Male,21-25,Question,Is there a medical room in university? ,There are medical rooms in the university.,Student Services Department,Medical Office
79,Male,21-25,Question,How can I obtain a medical report?,"You can go to the medical office, meet a doctor and get your report.",Student Services Department,Medical Office
80,Male,21-25,Question,Can we meet the doctor anytime?,There are wide range of medical facilities inside the campus. Within anytime of the university hourse you can meet a doctor. ,Student Services Department,Medical Office
81,Female,21-25,Request,Can you display a notification light saying if the in house doctor is available?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Medical Office
82,Male,21-25,Question,Do you have a first aid facility? ," first aid facilities are available in the university. University provides medical facilities to the areas of nursing, clinical care, dentistry, pharmacy, public health, occupational therapy, physical therapy and (bio)medical research, and alternative medicine too.",Student Services Department,Medical Office
83,Male,21-25,Question,If a student met with an accident during a exam period what will be the action taken from the university?,"If a student met with an accident during a exam period, university provide chance to do the examination again with another batch to that student.",Student Services Department,Medical Office
84,Female,21-25,Question,Can I meet the doctor at any time in the university?,There are wide range of medical facilities inside the campus. Within anytime of the university hourse you can meet a doctor. ,Student Services Department,Medical Office
85,Male,21-25,Question,How can i visit our doctor ?,Medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
86,Female,21-25,Question,Can we have medicines for sickness or illness in university?,Students can have medines for sickness or illness at the medical office in the university.,Student Services Department,Medical Office
87,Male,21-25,Question,How do the medical section act of a student got injured badly?,"If a student got injured badly, medical office provide medical treatments to that student. If more treatment needed, university will be hospitalized that student.",Student Services Department,Medical Office
88,Male,21-25,Question,What will do the medical section if some student had a serious illness in university premises?,"If a student had a serious illness in university premises, medical office provide medical treatments to that student. If more treatment needed, university will be hospitalized that student.",Student Services Department,Medical Office
89,Female,25-30,Question,Should the students pay for the university for medicine?,Students can get free instructions from the doctor to the any medical issues.,Student Services Department,Medical Office
90,Female,25-30,Question,Is there any counseling facilities..?,"Counseling is available for students for academic, vocational, emotional, personal or social concerns. Students are encouraged to make an appointment in order to make use of the counselling services available.",Student Services Department,Medical Office
91,Female,25-30,Question,Is there a pharmacy inside  the campus?,"there is a pharmacy inside  the campus. University provides medical facilities to the areas of nursing, clinical care, dentistry, pharmacy, public health, occupational therapy, physical therapy and (bio)medical research, and alternative medicine too.",Student Services Department,Medical Office
92,Female,25-30,Question,Do you charge for medical facilities such as doctor charge?,Free medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
93,Female,25-30,Question,Should I get medicine from the university or should I get medicine from the outside pharmacy?,Students can get medicines from the university medical office.,Student Services Department,Medical Office
94,Female,21-25,Question,Is it possible for me to get some medicines for fever ?,Medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
95,Male,21-25,Question,What should do if a student get ill in campus?,"If a student had a serious illness in university premises, medical office provide medical treatments to that student. If more treatment needed, university will be hospitalized that student.",Student Services Department,Medical Office
96,Female,21-25,Question,Is there a medical center on camps?,There are wide range of medical facilities inside the campus. Within anytime of the university hourse students can meet a doctor. ,Student Services Department,Medical Office
97,Female,21-25,Question,"Can I have a quick medical service at needs? 
",Anytime of the university hourse students can have medical consultation within SLIIT premises. ,Student Services Department,Medical Office
98,Female,21-25,Question,What medical facilities can expect?,"University provides medical facilities to the areas of nursing, clinical care, dentistry, pharmacy, public health, occupational therapy, physical therapy and (bio)medical research, and alternative medicine too.",Student Services Department,Medical Office
99,Female,21-25,Question,Do we can get medical facilities? ,Anytime of the university hourse students can have medical consultation within SLIIT premises. ,Student Services Department,Medical Office
100,Male,21-25,Question,Can I have a professional medical service at difficult times? ,Free medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
101,Female,21-25,Question,Can I get a free medical service? ,Medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
102,Female,21-25,Question,When the doctor is available at sliit (available time slots) ?,Medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
103,Female,21-25,Question,Are there medications inside the premises in case of an emergency? ,In case of any emergency university provides medications for students.,Student Services Department,Medical Office
104,Male,21-25,Question,Are university charge for medical facilities or it's free to students..?,University provides free medical facilities to university students.,Student Services Department,Medical Office
105,Male,21-25,Question,Does university have free medical facilities? ,Free medical consultation is available for students when needed within SLIIT premises. A qualified Medical Doctor is available during working days for consultation.,Student Services Department,Medical Office
106,Female,21-25,Question,Can I get some pain killers ?,"Students can get free medical services such as medications, doctor instructions from the university medical office.",Student Services Department,Medical Office
107,Female,21-25,Question,What are the categories of medical facilities that available? ,"University provides medical facilities to the areas of nursing, clinical care, dentistry, pharmacy, public health, occupational therapy, physical therapy and (bio)medical research, and alternative medicine too.",Student Services Department,Medical Office
108,Female,21-25,Question,Can i meet a doctor with free of charge..?,Students can get free instructions from the doctor to the any medical issues.,Student Services Department,Medical Office
109,Male,21-25,Question,Can we have to pay for the doctor to get instructions for a medical issue..?,Students can get free instructions from the doctor to the any medical issues.,Student Services Department,Medical Office
110,Female,21-25,Question,Can i have medical facilities free of charge..?,University provides free medical facilities to university students.,Student Services Department,Medical Office
111,Female,21-25,Request,It is good to have a facility that provides medical instructions over the phone.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Medical Office
112,Female,21-25,Question,"I am on medication for a health condition. If I am in a situation of emergency, do I have the access to medical facilities?",In case of any emergency university provides medications to students.,Student Services Department,Medical Office
113,Female,21-25,Request,Can we have a medical office for each faculty building..?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Medical Office
114,Male,21-25,Question,Whom can we reach for mental health issues regards to academics? ,"Counseling is available for students for academic, vocational, emotional, personal or social concerns. Students are encouraged to make an appointment in order to make use of the counselling services available.",Student Services Department,Medical Office
115,Female,21-25,Question,How long the canteen is open?,Canteens are open within the university hourse.,Student Services Department,Canteen Management Office
116,Female,16-20,Question,Do the food items are quality according to the government measures?,All the food items are quality according to the government measures,Student Services Department,Canteen Management Office
117,Female,21-25,Request,It is good have more water filters.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
118,Male,21-25,Complaint,There were more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
119,Male,21-25,Question,Is there enough varieties of foods to choose for a student? ,There are many varieties of foods in all the canteens of the university.,Student Services Department,Canteen Management Office
120,Male,21-25,Question,Do you supply filtered water for the student?,there are many water filters available in the university canteens.,Student Services Department,Canteen Management Office
121,Female,21-25,Request,can we get more water filters for each floor?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
122,Female,21-25,Question,How much is the one cigarette..?,University canteens not provides the cigarettes.,Student Services Department,Canteen Management Office
123,Male,21-25,Question,How long the canteens will be open?,Canteens are open within the university hourse,Student Services Department,Canteen Management Office
124,Male,21-25,Question,Is the foods are worthy for the price that spending?,You can get foods for worthy prices from canteens in university.,Student Services Department,Canteen Management Office
125,Male,21-25,Request,Can you place more water filters?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
126,Female,21-25,Question,Is all the food and beverages available are healthy and good ?,Canteens provides healthy and good foods and beverages for students,Student Services Department,Canteen Management Office
127,Male,21-25,Request,Can we have at least two cashiers for canteen..?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
128,Female,21-25,Question,Can students complain about the canteen foods?,You can do a complaint using a Complaint section.,Student Services Department,Canteen Management Office
129,Female,21-25,Question,How can it prove about the water quality of university?,Canteens provides healthy and good foods and beverages for students,Student Services Department,Canteen Management Office
130,Female,25-30,Question,Are the students suppose to pay for drinking water or is it free of charge? ,University provides free water filters to the student,Student Services Department,Canteen Management Office
131,Female,25-30,Question,Are there any vegetarian and vegan food available at the canteen?,There are vegetarian and vegan food available at the canteens,Student Services Department,Canteen Management Office
132,Female,25-30,Question,Has the canteen gone under health and safety inspections?,University canteens provides foods under health and safety inspections,Student Services Department,Canteen Management Office
133,Female,25-30,Request,Can you place more tables and chairs?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
134,Male,25-30,Question,Wha is the time period in which the canteens are kept open?,Canteens are open within the university hourse,Student Services Department,Canteen Management Office
135,Female,25-30,Request,Can you please add some more water taps ?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
136,Male,21-25,Request,Is it possible for providing a canteen facility in the engineering building?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
137,Female,21-25,Request,Can we have a juice bar in canteen..?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
138,Female,16-20,Question,Can we take lunch from the canteen ? ,Students can get breakfast and lunch from the university canteens.,Student Services Department,Canteen Management Office
139,Female,21-25,Question,Is drinkable water supplied to every canteen?,There are many water filters available in the university canteens. Students can use filtered water.,Student Services Department,Canteen Management Office
140,Male,21-25,Question,is there clean water in camps pipe lines?,"University provides cleaned water to students, and also there are many water filters available in the university canteens.",Student Services Department,Canteen Management Office
141,Male,21-25,Question,Is there a price difference between outside shops and on camps canteens ?,University provides foods and beverages in cheap prices for university students. Students can buy foods and beverages for low prices than the outside shops.,Student Services Department,Canteen Management Office
142,Male,21-25,Question,"Can I get canteen and water facilities for a fair price? 
",University provides canteen facilities for fair prices to students. University provides free water facilities to students.,Student Services Department,Canteen Management Office
143,Male,21-25,Question,Do I get canteen and water facilities from the best conditions? ,University provides canteen and water facilities to students within best condotions.,Student Services Department,Canteen Management Office
144,Female,21-25,Question,What foods can get from the canteens..?,There are many varieties of foods and beverages in all the canteens of the university.,Student Services Department,Canteen Management Office
145,Male,21-25,Question,How about the canteen and water facilities..?,University provides canteen facilities for fair prices to students. University provides free water facilities to students.,Student Services Department,Canteen Management Office
146,Male,21-25,Question,What type of foods they are supplying? ,There are many varieties of foods and beverages in all the canteens of the university.,Student Services Department,Canteen Management Office
147,Male,21-25,Question,Do you have good condition of water? ,"University provides cleaned water to students, and also there are many water filters available in the university canteens.",Student Services Department,Canteen Management Office
148,Female,21-25,Question,Do we can get discounted meals from canteens?,University provides foods and beverages in cheap prices for university students. Students can buy foods and beverages for low prices than the outside shops.,Student Services Department,Canteen Management Office
149,Male,21-25,Question,Can I know the expire date of this (some food) ?,Expire date of the foods are consist with cover of the food.,Student Services Department,Canteen Management Office
150,Male,21-25,Question,How do you guarantee drinking water cleanliness provided by the canteens..?,There are many water filters available in the university canteens. Students can use filtered water.,Student Services Department,Canteen Management Office
151,Male,21-25,Question,Can students have healthy foods and filtering water..?,Canteens provides healthy and good foods and beverages for students. There are many water filters available in the university canteens. Students can use filtered water.,Student Services Department,Canteen Management Office
152,Female,21-25,Question,Can university give drinking water with filtering ?,There are many water filters available in the university canteens. Students can use filtered water.,Student Services Department,Canteen Management Office
153,Female,21-25,Request,Can u build the canteen with more chairs and tables.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Canteen Management Office
154,Male,21-25,Question,Do you take responsibility for the safety and hygiene of the food?,University takes responsibility for the safety and hygiene of the foods.,Student Services Department,Canteen Management Office
155,Female,25-30,Question,Can we have hot water facility to drink? ,Water filters provide hot water facilities to students.,Student Services Department,Canteen Management Office
156,Male,21-25,Request,It is better that you can supply hostel facilities for all the students.,There is not the facility to supply  hostel facilities for all the students in the university yet. Thank you for your new idea. We will direct it to the relevant section of the department.,Student Services Department,Hostel Facility Management
157,Female,25-30,Question,What happens of somebody complain about the food inside the university?,"If someone do a complain, we will direct it to the relevant section of that department, then you can have speedy solution for that.",Student Services Department,Hostel Facility Management
158,Female,25-31,Question,Can you guarantee the cleanliness of the common places in the hostel..?,All the common places inside the hostel are clean. There's a good cleaning service.,Student Services Department,Hostel Facility Management
159,Female,25-34,Request,Can you all please add some more cushions to the hostel?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Hostel Facility Management
160,Male,21-25,Question,Can I get an assured protection in student hostels? ,There's an assured protection in student hostels.,Student Services Department,Hostel Facility Management
161,Female,21-25,Question,Can I get hostel facilities in healthy and good conditions? ,Students can get hostel facilities in healthy and good conditions.,Student Services Department,Hostel Facility Management
162,Female,21-25,Question,Do students can get hostals to stay? ,University students can get hostels to stay.,Student Services Department,Hostel Facility Management
163,Female,21-25,Question,Is accomodation free?,"Considering all the facilities in university hostels, students have to pay monthly payment for the hostel.",Student Services Department,Hostel Facility Management
